ID;Name;Birthday;Films
28;John Lasseter;1957-01-12;[[177572, Executive Producer], [13053, Executive Producer], [12, Executive Producer], [109445, Executive Producer], [4935, Executive Producer], [150540, Executive Producer], [62211, Executive Producer], [585, Executive Producer], [2062, Executive Producer], [129, Producer], [38757, Executive Producer], [105864, Producer], [9806, Executive Producer], [10198, Executive Producer], [10193, Producer], [14160, Executive Producer], [10681, Executive Producer], [82690, Executive Producer]]
29;Roy Conli;1970-01-01;[[177572, Producer], [38757, Producer], [9016, Producer]]
30;Glen Keane;1954-04-13;[[38757, Executive Producer]]
31;Patricia Whitcher;1970-01-01;[[99861, Executive Producer], [271110, Executive Producer], [1125, Executive Producer], [8874, Executive Producer], [17332, Executive Producer], [594, Executive Producer], [10195, Executive Producer]]
32;Jon Favreau;1966-10-19;[[99861, Executive Producer], [10138, Executive Producer], [68721, Executive Producer], [15745, Producer], [24428, Executive Producer], [278927, Producer]]
33;Louis D'Esposito;1970-01-01;[[102899, Executive Producer], [99861, Executive Producer], [271110, Executive Producer], [1771, Executive Producer], [100402, Executive Producer], [118340, Executive Producer], [10138, Executive Producer], [68721, Executive Producer], [9257, Executive Producer], [24428, Executive Producer], [10195, Executive Producer], [76338, Executive Producer]]
34;Alan Fine;1970-01-01;[[102899, Executive Producer], [99861, Executive Producer], [271110, Executive Producer], [1771, Executive Producer], [100402, Executive Producer], [118340, Executive Producer], [10138, Executive Producer], [68721, Executive Producer], [24428, Executive Producer], [76338, Executive Producer]]
35;Victoria Alonso;1970-01-01;[[102899, Executive Producer], [99861, Executive Producer], [271110, Executive Producer], [1771, Producer], [100402, Executive Producer], [118340, Executive Producer], [10138, Producer], [68721, Executive Producer], [24428, Executive Producer], [76338, Executive Producer]]
36;Jeremy Latcham;1970-01-01;[[99861, Executive Producer], [118340, Executive Producer], [10138, Producer], [24428, Executive Producer]]
37;David Heyman;1961-07-26;[[49047, Producer], [672, Producer], [674, Producer], [767, Producer], [675, Producer], [671, Producer], [673, Producer], [6479, Producer], [116149, Producer], [10212, Producer], [14574, Producer], [10201, Producer]]
38;David Barron;1970-01-01;[[150689, Producer], [10549, Producer], [672, Executive Producer], [674, Executive Producer], [767, Producer], [137094, Producer]]
39;Tim Lewis;1970-01-01;[[150689, Producer], [150689, Executive Producer], [767, Producer], [266647, Executive Producer]]
40;Lionel Wigram;1970-01-01;[[5123, Executive Producer], [767, Executive Producer], [68737, Producer], [10528, Producer], [58574, Producer], [203801, Producer]]
41;David S. Goyer;1965-12-22;[[209112, Executive Producer], [36586, Executive Producer], [36648, Producer], [71676, Executive Producer], [329440, Producer]]
42;Wesley Coller;1970-01-01;[[209112, Executive Producer], [23629, Executive Producer], [13183, Producer]]
43;Deborah Snyder;1970-01-01;[[1271, Executive Producer], [53182, Producer], [209112, Producer], [49521, Producer], [23629, Producer], [13183, Producer]]
44;Geoff Johns;1973-01-25;[[209112, Executive Producer], [44912, Producer], [297761, Executive Producer]]
45;Jon Peters;1945-06-02;[[8489, Producer], [268, Producer], [11977, Executive Producer], [49521, Executive Producer], [11517, Producer], [380, Executive Producer], [1452, Producer], [873, Executive Producer], [8487, Producer]]
46;Gilbert Adler;1970-01-01;[[43935, Executive Producer], [9645, Producer], [11377, Producer], [9384, Executive Producer], [1452, Producer], [9059, Producer], [9378, Producer], [2253, Producer]]
47;Bryan Singer;1965-09-17;[[1452, Producer], [629, Producer], [2253, Producer], [246655, Executive Producer], [127585, Producer], [49538, Producer]]
48;Chris Lee;1970-01-01;[[10550, Producer], [2114, Producer], [9257, Producer], [1452, Executive Producer]]
49;William Fay;1970-01-01;[[1271, Executive Producer], [9988, Executive Producer], [18823, Executive Producer], [8869, Executive Producer], [20533, Executive Producer], [22832, Executive Producer], [23629, Executive Producer], [1452, Executive Producer], [9906, Executive Producer], [18785, Executive Producer], [2024, Executive Producer], [10067, Executive Producer], [23168, Executive Producer], [11170, Executive Producer]]
50;Scott Mednick;1970-01-01;[[1271, Executive Producer], [9988, Executive Producer], [146239, Executive Producer], [1452, Executive Producer], [98566, Producer], [9906, Executive Producer], [11170, Executive Producer]]
51;Anthony Waye;1970-01-01;[[710, Producer], [10764, Executive Producer]]
52;Bruce Hendricks;1970-01-01;[[676, Executive Producer], [58, Executive Producer], [22, Executive Producer]]
53;Gore Verbinski;1964-03-16;[[44896, Producer], [57201, Producer]]
54;Ted Elliott;1970-01-01;[[57201, Executive Producer]]
55;Terry Rossio;1970-01-01;[[1865, Executive Producer], [57201, Executive Producer]]
56;Johnny Depp;1963-06-09;[[62213, Producer], [44826, Producer], [210860, Producer], [57201, Executive Producer]]
57;Eric Ellenbogen;1970-01-01;[[82703, Executive Producer], [57201, Executive Producer]]
58;Lloyd Phillips;1970-01-01;[[9839, Producer], [16869, Executive Producer], [49521, Executive Producer], [9433, Producer], [1656, Producer], [37710, Executive Producer], [11678, Executive Producer]]
59;Mark Johnson;1970-01-01;[[13776, Executive Producer], [46261, Producer], [9366, Producer], [10052, Producer], [926, Producer], [801, Producer], [12257, Producer], [31005, Producer], [10024, Producer], [380, Producer], [290751, Producer], [10733, Producer], [9034, Producer], [2454, Producer], [411, Producer], [10140, Producer], [5353, Producer], [11036, Producer], [12183, Producer], [2655, Executive Producer], [82631, Producer], [11904, Producer]]
60;Andrew Adamson;1970-01-01;[[94352, Producer], [417859, Executive Producer], [810, Executive Producer], [2454, Producer], [411, Executive Producer], [10140, Producer]]
61;Philip Steuer;1970-01-01;[[218778, Executive Producer], [68728, Executive Producer], [140823, Producer], [10733, Executive Producer], [2454, Producer], [411, Producer], [10140, Producer]]
62;Perry Moore;1970-01-01;[[2454, Executive Producer], [411, Executive Producer], [10140, Executive Producer]]
63;Chris Brigham;1970-01-01;[[9932, Executive Producer], [9535, Executive Producer], [68734, Executive Producer], [314385, Executive Producer], [27205, Executive Producer], [86834, Executive Producer], [24428, Executive Producer], [2567, Executive Producer], [4958, Producer]]
64;Barry H. Waldman;1970-01-01;[[8961, Executive Producer], [150689, Executive Producer], [9923, Executive Producer], [9679, Executive Producer], [262500, Executive Producer], [10628, Executive Producer], [2059, Executive Producer], [676, Executive Producer], [1865, Executive Producer]]
65;John DeLuca;1970-01-01;[[224141, Producer], [1865, Executive Producer]]
66;Steven Spielberg;1946-12-18;[[644, Producer], [11831, Producer], [6488, Executive Producer], [105, Executive Producer], [165, Executive Producer], [196, Executive Producer], [296098, Producer], [1598, Executive Producer], [8839, Executive Producer], [640, Producer], [8656, Executive Producer], [601, Producer], [13027, Executive Producer], [3683, Producer], [927, Executive Producer], [928, Executive Producer], [331, Executive Producer], [135397, Executive Producer], [1251, Producer], [72976, Producer], [1904, Producer], [607, Executive Producer], [41154, Executive Producer], [608, Executive Producer], [9297, Executive Producer], [612, Producer], [609, Producer], [39254, Executive Producer], [857, Producer], [424, Producer], [808, Executive Producer], [37686, Producer], [17578, Producer], [267935, Producer], [873, Producer], [888, Executive Producer], [11618, Executive Producer], [228194, Producer], [12144, Executive Producer], [1656, Executive Producer], [7980, Executive Producer], [9342, Executive Producer], [9837, Producer], [594, Producer], [1858, Executive Producer], [91314, Executive Producer], [38356, Executive Producer], [8373, Executive Producer], [664, Executive Producer], [57212, Producer], [11904, Executive Producer]]
67;Walter F. Parkes;1970-01-01;[[644, Executive Producer], [640, Producer], [8656, Executive Producer], [87502, Producer], [98, Executive Producer], [9007, Producer], [607, Producer], [41154, Producer], [608, Producer], [180, Producer], [4147, Executive Producer], [11551, Executive Producer], [1635, Producer], [1656, Producer], [9342, Executive Producer], [6623, Producer], [10320, Producer], [594, Producer], [2135, Producer], [664, Executive Producer]]
68;Laurie MacDonald;1970-01-01;[[640, Executive Producer], [87502, Producer], [98, Executive Producer], [9007, Producer], [607, Producer], [41154, Producer], [608, Producer], [1656, Producer], [9342, Executive Producer], [6623, Executive Producer], [10320, Producer], [594, Producer], [664, Executive Producer]]
69;G. Mac Brown;1970-01-01;[[6972, Producer], [36351, Producer], [41154, Executive Producer], [11322, Executive Producer], [39210, Producer], [1422, Executive Producer], [179, Executive Producer], [2251, Producer], [9489, Executive Producer]]
70;Peter Jackson;1961-10-31;[[17654, Producer], [254, Producer], [17578, Producer], [49051, Producer], [122917, Producer], [57158, Producer], [120, Producer], [122, Producer], [121, Producer], [7980, Producer]]
71;Fran Walsh;1970-01-01;[[254, Producer], [49051, Producer], [122917, Producer], [57158, Producer], [7980, Producer]]
72;Carolynne Cunningham;1970-01-01;[[17654, Producer], [254, Producer], [17578, Producer], [49051, Producer], [122917, Producer], [57158, Producer], [7980, Producer]]
73;Zane Weiner;1970-01-01;[[7944, Producer], [12634, Executive Producer], [49051, Producer], [122917, Producer], [57158, Producer]]
74;Carolyn Blackwood;1970-01-01;[[49051, Executive Producer], [122917, Executive Producer], [57158, Executive Producer]]
75;Michael Grillo;1970-01-01;[[102899, Executive Producer], [100402, Executive Producer], [11509, Executive Producer], [1930, Executive Producer], [6623, Executive Producer], [12160, Executive Producer]]
76;Matt Tolmach;1970-01-01;[[1930, Producer], [102382, Producer]]
77;Brian Grazer;1951-07-12;[[65, Producer], [453, Producer], [4982, Producer], [13448, Producer], [568, Producer], [14271, Producer], [9266, Producer], [11066, Producer], [11353, Producer], [3580, Producer], [921, Producer], [11374, Producer], [9315, Producer], [11499, Producer], [7552, Producer], [239566, Producer], [8871, Producer], [205775, Producer], [12228, Producer], [388, Producer], [11775, Producer], [88794, Producer], [101267, Producer], [951, Producer], [1624, Producer], [8838, Producer], [4032, Producer], [12107, Producer], [3595, Producer], [20662, Producer], [96721, Producer], [9099, Producer], [2619, Producer], [10588, Producer], [591, Producer], [44564, Producer], [10537, Executive Producer], [59108, Producer], [12277, Producer]]
78;Ridley Scott;1937-11-30;[[9726, Producer], [4982, Producer], [855, Producer], [12113, Producer], [181283, Producer], [321741, Producer], [39053, Executive Producer], [147441, Producer], [4421, Producer], [98, Executive Producer], [1495, Producer], [164457, Producer], [70981, Producer], [20662, Producer], [86825, Producer], [4512, Producer], [109091, Producer], [87499, Producer], [75174, Producer], [286217, Producer], [10534, Executive Producer]]
79;Russell Crowe;1964-04-07;[[20662, Producer]]
80;Callum Greene;1970-01-01;[[26171, Executive Producer], [10761, Executive Producer], [1887, Producer], [68726, Executive Producer], [57158, Executive Producer], [7461, Executive Producer]]
81;Toby Emmerich;1963-02-08;[[59, Executive Producer], [10589, Executive Producer], [12690, Executive Producer], [818, Executive Producer], [4953, Executive Producer], [36586, Executive Producer], [36648, Executive Producer], [9759, Executive Producer], [302699, Executive Producer], [22971, Executive Producer], [9923, Executive Producer], [10719, Executive Producer], [9358, Executive Producer], [10559, Producer], [10426, Executive Producer], [48988, Executive Producer], [18276, Executive Producer], [88751, Executive Producer], [11141, Executive Producer], [10024, Executive Producer], [13150, Executive Producer], [14024, Producer], [37786, Executive Producer], [12763, Executive Producer], [226486, Executive Producer], [1954, Executive Producer], [2268, Executive Producer], [49051, Executive Producer], [57158, Executive Producer], [9074, Producer], [2447, Executive Producer], [11400, Executive Producer], [11036, Executive Producer], [10781, Executive Producer], [296099, Executive Producer], [10929, Executive Producer]]
82;Ken Kamins;1970-01-01;[[17654, Executive Producer], [17578, Executive Producer], [49051, Executive Producer], [57158, Executive Producer], [7980, Executive Producer]]
83;Alan Horn;1943-02-28;[[49051, Executive Producer], [57158, Executive Producer]]
84;Mark Ordesky;1970-01-01;[[10740, Executive Producer], [199373, Producer], [2268, Executive Producer], [120, Executive Producer], [122, Executive Producer], [121, Executive Producer], [11400, Executive Producer], [10781, Executive Producer]]
85;Michael Lynne;1970-01-01;[[2268, Executive Producer], [120, Executive Producer], [122, Executive Producer], [121, Executive Producer]]
86;Paul Weitz;1970-01-01;[[144340, Producer], [9310, Producer], [2770, Executive Producer], [8273, Executive Producer], [1901, Producer], [12182, Producer], [2268, Executive Producer]]
87;Robert Shaye;1970-01-01;[[377, Producer], [10072, Producer], [10131, Producer], [10160, Producer], [10014, Producer], [6466, Executive Producer], [11284, Producer], [10559, Executive Producer], [11596, Executive Producer], [2268, Executive Producer]]
88;Bill Carraro;1970-01-01;[[73, Executive Producer], [11531, Producer], [10559, Producer], [4474, Executive Producer], [87101, Executive Producer], [38050, Producer], [2268, Producer], [5820, Executive Producer], [7978, Executive Producer], [59108, Executive Producer], [12277, Executive Producer], [10929, Executive Producer]]
89;Deborah Forte;1970-01-01;[[257445, Producer], [2268, Producer]]
90;Ileen Maisel;1970-01-01;[[2309, Producer], [2268, Executive Producer]]
91;Andrew Miano;1970-01-01;[[34653, Producer], [144340, Producer], [9310, Producer], [12182, Producer], [2268, Executive Producer]]
92;Jan Blenkin;1970-01-01;[[254, Producer]]
93;Rae Sanchini;1970-01-01;[[597, Executive Producer], [36955, Executive Producer]]
94;Nate Moore;1970-01-01;[[271110, Executive Producer]]
95;Duncan Henderson;1970-01-01;[[44833, Producer], [271969, Producer], [8914, Executive Producer], [671, Executive Producer], [8619, Producer], [75612, Producer], [6950, Executive Producer], [503, Producer]]
96;Scott Stuber;1968-12-13;[[64686, Producer], [188161, Producer], [44833, Producer], [302699, Producer], [226857, Producer], [316152, Producer], [109431, Producer], [245916, Producer], [25643, Producer], [31867, Producer], [15373, Producer], [59961, Producer], [214756, Producer], [9767, Producer], [116741, Executive Producer], [4349, Producer], [7978, Producer], [1819, Producer], [38319, Producer]]
97;Brian Goldner;1970-01-01;[[44833, Producer], [72559, Producer], [14869, Producer], [1858, Executive Producer], [91314, Executive Producer], [8373, Executive Producer]]
98;Peter Berg;1953-06-11;[[44833, Producer], [184315, Executive Producer], [6615, Executive Producer]]
99;Sarah Aubrey;1970-01-01;[[10147, Producer], [44833, Producer], [184315, Executive Producer], [6615, Producer], [193756, Producer], [4349, Executive Producer]]
100;Bennett Schneir;1970-01-01;[[44833, Producer], [242512, Producer]]
101;Frank Marshall;1946-09-13;[[6488, Executive Producer], [105, Executive Producer], [165, Executive Producer], [196, Executive Producer], [1598, Executive Producer], [10329, Executive Producer], [879, Producer], [18276, Producer], [217, Producer], [89, Executive Producer], [87, Executive Producer], [324668, Producer], [135397, Producer], [16232, Executive Producer], [609, Producer], [85, Producer], [4464, Producer], [2675, Producer], [267935, Producer], [2501, Executive Producer], [49040, Producer], [2502, Producer], [2503, Producer], [873, Producer], [4922, Producer], [11359, Producer], [745, Producer], [11904, Executive Producer]]
102;Patrick Crowley;1970-01-01;[[9471, Executive Producer], [13027, Producer], [135397, Producer], [5550, Producer], [2501, Producer], [49040, Producer], [2502, Producer], [2503, Producer], [27581, Producer]]
103;Lorne Orleans;1970-01-01;[[272, Producer], [118, Producer], [673, Producer], [9928, Producer], [558, Producer], [155, Producer], [752, Producer]]
104;Joseph M. Caracciolo;1970-01-01;[[8224, Executive Producer], [11638, Executive Producer], [558, Executive Producer]]
105;Charles Newirth;1970-01-01;[[926, Producer], [12257, Producer], [44826, Executive Producer], [68721, Executive Producer], [7303, Executive Producer], [10312, Producer], [9294, Executive Producer], [10796, Producer]]
106;Dan Mintz;1970-01-01;[[68721, Executive Producer], [59967, Executive Producer]]
107;Bing Wu;1970-01-01;[[68721, Executive Producer]]
108;Wen-ge Xiao;1970-01-01;[[68721, Executive Producer]]
109;Stephen Broussard;1970-01-01;[[1771, Producer], [68721, Executive Producer]]
110;Chris Lebenzon;1970-01-01;[[12155, Executive Producer], [62213, Executive Producer]]
111;Jennifer Todd;1970-01-01;[[4688, Producer], [241259, Producer], [12155, Producer], [818, Producer], [816, Producer], [817, Producer], [14181, Producer], [77, Producer], [11648, Producer], [14113, Producer]]
112;Suzanne Todd;1970-01-01;[[241259, Producer], [12155, Producer], [818, Producer], [816, Producer], [817, Producer], [14181, Producer], [4421, Producer], [9292, Producer], [6552, Producer], [77, Producer], [11648, Producer], [9644, Producer], [14113, Producer]]
113;Richard D. Zanuck;1970-01-01;[[12155, Producer], [587, Producer], [12123, Executive Producer], [118, Producer], [62213, Producer], [8656, Producer], [403, Producer], [578, Producer], [579, Producer], [869, Producer], [6278, Producer], [4147, Producer], [15121, Executive Producer], [9277, Executive Producer], [24226, Producer], [10201, Producer]]
114;Katterli Frauenfelder;1970-01-01;[[12155, Producer], [87093, Executive Producer]]
115;Joe Roth;1948-07-13;[[241259, Producer], [12155, Producer], [10708, Executive Producer], [236751, Producer], [205775, Producer], [37834, Executive Producer], [339984, Producer], [11820, Executive Producer], [68728, Producer], [58595, Producer], [9567, Executive Producer], [14047, Producer], [290595, Producer], [11967, Producer]]
116;Peter M. Tobyansen;1970-01-01;[[12155, Executive Producer], [2310, Producer], [278927, Executive Producer]]
117;Derek Frey;1970-01-01;[[12155, Producer], [87093, Executive Producer]]
118;Tom C. Peitzman;1970-01-01;[[12155, Producer]]
119;Ralph Winter;1970-01-01;[[331190, Executive Producer], [1979, Producer], [10428, Producer], [10439, Executive Producer], [174, Producer], [227156, Executive Producer], [36657, Producer], [36668, Producer], [36658, Producer]]
120;Lauren Shuler Donner;1949-06-23;[[9563, Producer], [9691, Executive Producer], [9452, Producer], [293660, Producer], [12090, Executive Producer], [526, Producer], [20763, Producer], [9655, Producer], [12837, Producer], [76170, Producer], [9562, Producer], [36657, Producer], [2080, Producer], [246655, Producer], [127585, Producer], [49538, Producer], [36668, Producer], [36658, Producer], [9489, Producer]]
121;John Palermo;1970-01-01;[[64690, Producer], [36668, Executive Producer]]
122;Andrew Stanton;1965-12-03;[[150540, Executive Producer], [62211, Executive Producer], [585, Executive Producer], [2062, Executive Producer], [14160, Executive Producer]]
123;Lee Unkrich;1967-08-08;[[62211, Executive Producer]]
124;Kori Rae;1970-01-01;[[62211, Producer]]
125;Peter Doctor;1970-01-01;[[62211, Executive Producer]]
126;Michael Bay;1965-02-17;[[300671, Producer], [95, Producer], [46529, Producer], [242512, Producer], [134374, Producer], [676, Producer], [227719, Producer], [98566, Producer], [308531, Executive Producer], [10065, Producer], [1635, Producer], [158015, Producer], [238636, Producer], [316727, Producer], [10781, Producer], [13788, Producer], [1858, Executive Producer], [91314, Executive Producer], [38356, Executive Producer], [8373, Executive Producer]]
127;Don Murphy;1970-01-01;[[9517, Producer], [768, Producer], [39254, Producer], [8698, Producer], [1858, Producer], [91314, Producer], [38356, Producer], [8373, Producer]]
128;Ian Bryce;1970-01-01;[[786, Producer], [8960, Executive Producer], [11258, Producer], [134374, Producer], [857, Producer], [557, Producer], [9567, Producer], [1635, Producer], [1858, Producer], [91314, Producer], [38356, Producer], [8373, Producer], [664, Producer], [72190, Producer]]
129;Lorenzo di Bonaventura;1957-01-01;[[3021, Producer], [8999, Producer], [8814, Producer], [8292, Producer], [72559, Producer], [14869, Producer], [19724, Producer], [137094, Producer], [49527, Producer], [39514, Producer], [146216, Producer], [27576, Producer], [7485, Producer], [109421, Producer], [2270, Producer], [76640, Producer], [1858, Producer], [91314, Producer], [38356, Producer], [8373, Producer]]
130;Tom DeSanto;1970-01-01;[[1858, Producer], [91314, Producer], [38356, Producer], [8373, Producer]]
131;Mark Vahradian;1970-01-01;[[137094, Producer], [49527, Producer], [14043, Executive Producer], [39514, Producer], [146216, Producer], [1858, Executive Producer], [91314, Executive Producer], [8373, Executive Producer]]
132;Joshua Donen;1970-01-01;[[4597, Producer], [210577, Producer], [68728, Executive Producer], [38321, Producer], [12106, Producer]]
133;Palak Patel;1970-01-01;[[68728, Executive Producer], [144336, Producer], [58595, Executive Producer]]
134;Steven Lisberger;1970-01-01;[[20526, Producer]]
135;Donald Kushner;1970-01-01;[[504, Producer], [20526, Executive Producer], [19933, Producer]]
136;Jeffrey Silver;1970-01-01;[[1271, Producer], [8978, Producer], [137113, Producer], [4942, Executive Producer], [16617, Producer], [20697, Producer], [20526, Producer], [534, Producer], [11395, Producer], [9021, Producer], [10563, Producer], [2034, Producer]]
137;Sean Bailey;1970-01-01;[[20526, Producer], [9341, Producer]]
138;Denise Ream;1970-01-01;[[49013, Producer], [105864, Producer]]
139;Donald De Line;1970-01-01;[[12113, Producer], [42297, Producer], [8676, Producer], [44912, Producer], [16538, Producer], [41216, Executive Producer], [134374, Producer], [9654, Producer], [9890, Producer], [10762, Producer]]
140;Herb Gains;1970-01-01;[[72559, Executive Producer], [44912, Executive Producer], [10066, Executive Producer], [13920, Producer], [20697, Producer], [205587, Executive Producer], [1683, Producer], [13183, Executive Producer]]
141;Andrew Haas;1970-01-01;[[44912, Executive Producer], [16538, Executive Producer], [10762, Executive Producer]]
142;Greg Berlanti;1972-05-24;[[44912, Producer], [266647, Producer]]
143;Darla K. Anderson;1970-01-01;[[9487, Producer], [920, Producer], [585, Producer], [10193, Producer]]
