ID;Name;Birthday;Films
24;Monica Bellucci;1964-09-30;[[979, Alex], [38970, Alessia], [206647, Lucia], [9567, Dr. Lena Fiore Kendricks], [4442, Mirror Queen], [604, Persephone], [615, Maria Magdalena], [27022, Veronica Gorloisen]]
25;Ben Whishaw;1980-10-14;[[29963, John Keats], [83542, Cabin Boy / Robert Frobisher / Store Clerk / Georgette / Tribesman], [3902, Arthur], [205775, Herman Melville], [4836, Sidney], [116149, Paddington (voice)], [1427, Jean-Baptiste Grenouille], [37724, Q], [206647, Q]]
26;Naomie Harris;1976-09-06;[[170, Selena], [192136, Winnie Madikizela], [22832, Mika Coretti], [205588, Gail Perkins], [37724, Eve], [307081, Angela Rivera], [206647, Moneypenny], [1266, Linda Washington]]
27;Dave Bautista;1969-01-18;[[118340, Drax the Destroyer], [336004, Cox], [308529, Tong Po], [87421, Diaz], [206647, Hinx], [97430, Brass Body]]
28;Andrew Scott;1976-10-21;[[241259, Addison Bennett], [206647, C], [228066, Roderick Turpin]]
29;Rory Kinnear;1970-01-01;[[37724, Bill Tanner], [206647, Tanner], [205596, Detective Robert Nock], [44147, Gerry Bailey]]
30;Christian Bale;1974-01-30;[[5176, Dan Evans], [168672, Irving Rosenfeld], [1359, Patrick Bateman], [272, Bruce Wayne / Batman], [1722, Mandras], [7299, John Preston], [147441, Moses], [7873, Jim Luther Davis], [3902, Jack/Pastor John], [9587, Laurie], [164457, Russell Baze], [10530, Thomas (voice)], [11322, Melvin Purvis], [6278, Quinn Abercromby], [9952, Dieter Dengler], [479, Walter Wade, Jr.], [534, John Connor], [318846, Michael Burry], [155, Bruce Wayne], [49026, Bruce Wayne / Batman], [45317, Dick ""Dicky"" Eklund], [76758, John Miller], [4553, Trevor Reznik], [11400, John Rolfe], [1124, Alfred Borden], [1808, Arthur Stuart]]
31;Michael Caine;1933-03-14;[[5902, Lt. Col. John O.E. Vandeleur], [818, Nigel Powers], [272, Alfred Pennyworth], [31640, ""Victor 'Vic' Spansky""], [49013, Finn McMissile (voice)], [9693, Jasper], [11033, Doctor Robert Elliott], [10461, Cliff Brumby], [25941, Harry Brown], [27205, Miles], [157336, Professor John Brand], [580, Hoagie Newcombe], [72545, Alexander], [14778, Jack], [8545, Ray Say], [1493, Victor Melling], [75656, Arthur Tressler], [291805, Arthur Tressler], [9624, Michael Jennings], [10876, Dr. Royer-Collard], [13156, Garth], [155, Alfred], [49026, Alfred Pennyworth], [274854, Dolan 36th], [10437, Ebenezer Scrooge], [1124, Cutter], [8198, Thomas Fowler], [41488, Pierre Brossard], [6963, Robert Spritzel]]
32;Gary Oldman;1958-03-21;[[17979, Tiny Tim, Bob Cratchit, Marley], [9772, Ivan Korshunov], [549, Albert Milo], [272, Jim Gordon], [181283, General Mikhail Nesterov], [302156, Quaker Wells], [119450, Dreyfus], [6114, Dracula], [674, Sirius Black], [673, Sirius Black], [820, Lee Harvey Oswald], [49444, Lord Shen (voice)], [2157, Dr. Zachary Smith], [16866, General Grawl (voice)], [18937, Ruber (voice)], [49730, Father Soloman], [97020, Norton], [2088, Jack Grimaldi], [20504, Carnegie], [6521, Sheldon Runyon], [155, Gordon], [49026, James Gordon], [18, Jean-Baptiste Emmanuel Zorg], [10533, Rev. Arthur Dimmesdale], [13788, Rabbi Sendak], [49517, George Smiley], [319, Drexl Spivey]]
33;Anne Hathaway;1982-11-12;[[241259, White Queen], [12155, The White Queen], [2977, Jane Austen], [10521, Emma], [142, Lureen Newsome], [14442, Ella of Frell], [11665, Agent 99], [10982, Red (voice)], [157336, Dr. Amelia Brand], [82695, Fantine], [43347, Maggie Murdock], [29339, Madeline Bray], [51828, Emma Morley], [14976, Kym], [46195, Jewel (voice)], [172385, Jewel (voice)], [244783, Franny], [49026, Selina Kyle / Catwoman], [350, Andrea Sachs], [257211, Jules Ostin], [16651, Jean Sabin], [9880, Amelia ""Mia"" Thermopolis], [11130, Mia Thermopolis], [32856, Liz Curran]]
34;Tom Hardy;1977-09-15;[[855, Spec. Lance Twombly], [18533, Michael Peterson (Charles Bronson)], [181283, Leo Demidov], [27205, Eames], [4836, Clarkie], [276907, Ronald Kray / Reginald Kray], [76341, Max Rockatansky], [13809, Handsome Bob], [201, Praetor Shinzon], [49026, Bane], [281957, John Fitzgerald], [59962, Tuck], [59440, Tom Conlon], [36597, Heathcliff]]
35;Marion Cotillard;1975-09-30;[[9726, Fanny Chenal], [2841, Tina Lombardi], [587, Josephine], [190955, Monica], [39538, Dr. Leonora Orantes], [27205, Mal], [48034, Marie], [10197, Luisa Contini], [11322, Billie Frechette], [49026, Miranda Tate], [152599, Ewa Cybulski], [309809, The Rose (voice)]]
36;Joseph Gordon-Levitt;1981-02-17;[[19913, Tom Hansen], [4951, Cameron James], [40807, Adam Lerner], [138697, Jon Martello, Jr.], [14869, The Doctor / Rex], [44835, Hesher], [27205, Arthur], [15708, Elder Paul Ryder], [72976, Robert Lincoln], [59967, Joe], [12412, Tim Boyle], [49526, Wilee], [189, Johnny], [8988, Tommy Burgess], [49026, Blake], [9623, Oliver Laird], [285783, Philippe Petit], [9016, Jim Hawkins (voice)]]
37;Morgan Freeman;1937-06-01;[[2043, Alex Cross], [11831, Theodore], [1947, Mitch Bradley], [272, Lucius Fox], [271969, Sheik Ilderim], [310, God], [12123, Paul Shannon], [8656, President Tom Beck], [62837, Dr. McCarthy], [227735, Dr. Cameron McCarthy], [6171, Col. Abraham Curtis], [403, Hoke Colburn], [2698, God], [9665, Sgt. Maj. John Rawlins], [11258, Jim], [11560, Charlie Grimes], [22954, Nelson Mandela], [9437, Alex Cross], [137093, Archie], [267860, Vice President Alan Trumbull], [186, The Boss], [240832, Professor Samuel Norman], [1667, Narrator], [70, Eddie Scrap-Iron Dupris], [75656, Thaddeus Bradley], [291805, Thaddeus Bradley], [10480, Charlie], [75612, Malcolm Beech], [117263, Speaker Trumbull], [6950, Billy Ford], [39514, Joe Matheson], [8367, Azeem], [807, Detective Lt. William Somerset], [214756, Patrick Meighan], [12634, Walter Crewes], [7350, Carter Chambers], [155, Lucius Fox], [49026, Lucius Fox], [137106, Vitruvius (voice)], [278, ""Ellis Boyd 'Red' Redding""], [4614, DCI William Cabot], [157353, Joseph Tagger], [33, Ned Logan], [10027, Sam], [8909, Sloan], [74, Narrator (Voice)]]
38;Cillian Murphy;1976-05-25;[[170, Jim], [251321, Ivan], [272, Dr. Jonathan Crane / Scarecrow], [3635, Pieter], [49530, Timekeeper Raymond Leon], [205775, Matthew Joy], [27205, Robert Fischer], [41009, Michael McCrea], [11460, Jackson Rippner], [75638, Tom Buckley], [1272, Robert Capa], [155, Scarecrow], [49026, Dr. Jonathan Crane / Scarecrow], [1116, ""Damien O'Donovan""], [157353, Agent Donald Buchanan]]
39;Juno Temple;1989-07-21;[[4347, Lola Quincey], [73567, Dottie Smith], [102651, Thistletwit], [1259, Polly Hart], [95755, Simone], [10748, Celia], [127867, Alice], [49026, Jen], [17610, Eema]]
40;Taylor Kitsch;1981-04-08;[[44833, Lieutenant Alex Hopper], [49529, John Carter], [193756, Mike Murphy], [82525, Chon], [9954, Pogue Parry], [2080, Remy LeBeau / The Gambit]]
41;Lynn Collins;1977-05-16;[[49529, Dejah Thoris], [2044, Mona], [11162, Portia], [3594, Suicide Blonde], [2080, Kayla Silverfox / Silver Fox]]
42;Samantha Morton;1977-05-13;[[2577, Maria Gonzales], [5708, Debbie Curtis], [108346, Eva], [4517, Queen Mary], [25636, Michelle], [49529, Sola], [180, Agatha], [230266, Kristin], [18602, Morvern Callar], [40880, Sara Coleridge], [4960, Hazel], [7548, Elizabeth Barry], [28089, Olivia Pitterson]]
43;Willem Dafoe;1955-07-22;[[157849, Tommy Brue], [18516, Commandat Klein], [9310, Chief of Staff], [1359, Det. Donald Kimball], [14112, John Carpenter], [9331, John Clark], [19901, ""Lionel 'Elvis' Cormac""], [10315, Rat (voice)], [12, Gill (voice)], [18886, ""Lt. Cmdr. Virgil 'Tiger' Cole""], [388, Captain Darius], [49529, Tars Tarkas], [36351, John LeTour], [1951, ""Grace's Father""], [1268, Carson Clay], [1428, Barillo], [164457, John Petty], [2266, Le cow-boy (Place des Victoires)], [792, Sergeant Elias Grodin], [10873, Max Schreck], [1639, John Geiger], [557, Norman Osborn / Green Goblin], [558, Norman Osborn / Green Goblin], [8374, Paul Smecker], [409, David Caravaggio], [222935, Peter van Houten], [120467, Jopling], [11051, Jesus], [421, Klaus Daimler], [1946, Gas], [11679, Gen. George Octavius Deckert]]
44;Thomas Haden Church;1960-06-17;[[12138, Quigley], [23706, Hartman], [9986, Brooks the Crow (voice)], [274167, Leo Holt], [35689, Don McKay], [37735, Mr. Griffith], [10603, Lyle van de Groot], [236751, Jay Wilkins], [19724, Johnny Whitefeather], [49529, Tal Hajus], [73567, Ansel], [272878, Ray], [7518, Dwayne (voice)], [9675, Jack], [559, Flint Marko / Sandman], [9059, Roach], [29015, The Strobe], [74465, Duncan Mee]]
45;Mark Strong;1963-08-05;[[9381, Finn], [204922, Dr. Nash], [12113, Hani], [137347, Max Rosenthal], [12410, Bouhler], [44912, Sinestro], [49529, Matai Shang], [23483, ""Frank D'Amico""], [20662, Godfrey], [13809, Archy], [10528, Lord Blackwood], [2270, Septimus], [1272, Pinbacker], [67913, Clive Cornell], [205596, Stewart Menzies], [18320, Sir John Conroy], [49517, Jim Prideaux], [97630, George]]
46;Ciarn Hinds;1970-01-01;[[109445, Pabbie / Grandpa (voice)], [71676, Roarke / The Devil], [49529, Tardos Mors], [39800, Bill], [9095, Sir Danvers Carew], [612, Carl], [39780, Reverend Dennis Hasset], [13836, Burke], [4147, Finn McGovern], [8988, Roy King], [48289, David Peretz], [39563, Michael Farr], [2447, Herodes der Groe], [9833, Firmin], [48171, Father Xavier], [41488, Pochon], [4614, President Nemerov], [10199, Botticelli (voice)], [65086, Mr. Daily], [7345, Fletcher], [49517, Roy Bland], [10629, John Traynor]]
47;Dominic West;1969-10-15;[[10468, Jasper], [1271, Theron], [23759, General Titus Flavius Virilus], [1574, Fred Casely], [1248, Inspector Popil], [49529, Sab Than], [58233, Simon Ambrose], [11820, Bill Dunbar], [303858, Walt Camby], [13056, Billy Russoti / Jigsaw], [12508, Kirk Cuddy], [77949, Robert Mallory]]
48;James Purefoy;1964-06-03;[[9476, Edward, the Black Prince of Wales/Sir Thomas Colville], [5494, George], [38543, Thomas Marshall], [49529, Kantos Kan], [11632, Rawdon Crawley], [256740, Wild Bill]]
49;Bryan Cranston;1956-03-07;[[68734, ""Jack O'Donnell""], [39538, Rear Admiral Lyle Haggerty], [64690, Shannon], [49529, Powell], [140300, Li (voice)], [59861, Dean Tainot], [773, Stan Grossman], [39845, James Pettis], [80321, Vitaly (voice)], [72431, Colonel William Mortamus], [80585, Mayor Mike Whitmore], [325789, Robert Mazur], [50348, Detective Lankford]]
50;Tobey Maguire;1975-06-27;[[7445, Sam Cahill], [10992, Lou(voice)], [1878, Hitchhiker], [130150, Older Henry Wheeler], [22267, Jake Roedel], [4464, Red Pollard], [557, Peter Parker / Spider-Man], [558, Peter Parker / Spider-Man], [559, Peter Parker / Spider-Man], [182, Tully], [64682, Nick Carraway], [68924, Paul Hood], [11004, James Leer]]
51;Kirsten Dunst;1982-04-30;[[46503, Katie Marks], [9444, Young Anastasia (voice)], [84174, Regan Crawford], [1588, Torrance Shipman], [10691, Nicole Oakley], [16406, Betsy Jobs], [10490, Amber Atkins], [9621, Claire Colburn], [38, Mary Svevo], [10050, Kelly Woods], [628, Claudia], [9587, Younger Amy March], [1887, Marie Antoinette], [62215, Justine], [245703, Sarah Tomlin], [11820, Betty Warren], [83770, Camille / Carolyn Cassady], [11551, Christy Fimple], [557, Mary Jane Watson], [558, Mary Jane Watson], [559, Mary Jane Watson], [1443, Lux Lisbon], [586, Tracy Lime], [11823, Lizzie Bradbury]]
52;James Franco;1978-04-19;[[44115, Aron Ralston], [13536, Joey], [35056, Taste], [38167, David], [9664, Blaine Rawlings], [204082, Gator], [6973, Sergeant Carnelli], [10139, Scott Smith], [68728, Oz], [192132, Mr. B], [10189, Saul Silver], [61791, Will Rodman], [223702, Druggie (voice)], [557, Harry Osborn], [558, Harry Osborn], [559, Harry Osborn / New Goblin], [122081, Alien], [13551, Derek], [13922, Captain Prince], [68812, Marty Freeman], [228967, Dave Skylark], [309809, The Fox (voice)], [109414, James Franco], [16222, Chris Campbell], [38319, Fabious]]
53;Topher Grace;1978-07-12;[[1901, Carter Duryea], [11820, Tommy Donegal], [34851, Edwin], [559, Eddie Brock / Venom], [50725, Matt Franklin], [87567, Jared Griffin], [283384, Ben Wingate], [32856, Jason Morris], [13476, Pete Monash]]
54;Bryce Dallas Howard;1981-03-02;[[40807, Rachael], [44603, Melanie], [135397, Claire Dearing], [1951, Grace], [294272, Grace Meacham], [559, Gwen Stacey], [534, Kate Connor], [50014, Hilly Holbrook], [6947, Ivy Walker]]
55;Rosemary Harris;1927-09-19;[[557, May Parker], [558, May Parker], [559, May Parker], [16241, Mrs. Doring]]
56;James Cromwell;1940-01-27;[[9598, Farmer Arthur Hoggett], [9447, Farmer Arthur Hoggett], [2977, Mr. Austen], [177572, Professor Robert Callaghan (voice)], [8656, Alan Rittenhouse], [9268, William Donohue], [2048, Dr. Alfred Lanning], [2118, Cap. Dudley Liam Smith], [2088, Cage], [39486, Ogden Phipps], [10219, Judge Fielding], [5551, Bob Gerson], [559, Captain Stacey], [9023, The Colonel (voice)], [199, Dr. Zefram Cochrane], [19959, Dr. Lionel Canter], [74643, Clifton], [2275, Lt. Gen. Joseph Campbell], [497, Warden Hal Moores], [1165, Prince Philip], [4614, President Robert Bob Fowler], [10523, George Herbert Walker Bush]]
57;J.K. Simmons;1955-01-09;[[10641, Dr. Tom Grandy], [4944, CIA Superior (as JK Simmons)], [77866, Captain Camp], [12569, Brian], [10390, Frank Perry], [7873, Agent Richards], [2023, Buffalo Bill Cody], [16538, Oswald Klaven], [19994, Mr. Wroblewski], [7326, Mac MacGuff], [140300, Kai (voice)], [130150, Mr. Jervis], [14536, Stu Kopenhafer], [5125, Lee Mayer], [557, J. Jonah Jameson], [558, J. Jonah Jameson], [559, J. Jonah Jameson], [87101, ""Detective O'Brien""], [4824, FBI Agent T. I. Witherspoon], [5516, Garth Pancake], [6073, Ted Slocum], [83686, Mr. Jansen], [22947, Bob], [244786, Terence Fletcher]]
58;Theresa Russell;1957-03-20;[[91122, Louise], [559, Mrs. Marko], [4012, Lina Moebius], [617, Sandra Van Ryan]]
59;Zachary Levi;1980-09-29;[[23398, Toby], [11565, Kevin Keneally], [38757, Flynn Rider (voice)], [76338, Fandral]]
60;Mandy Moore;1984-04-10;[[10229, Jamie Sullivan], [9310, Sally Kendoo], [1257, Milly], [14844, Anna Foster], [10808, Girl Bear Cub], [17403, Halley Martin], [2959, Sadie Jones], [6439, Sandy (voice)], [13994, Baby], [13193, Hilary Faye], [4723, Madeline Frost-Santaros], [38757, Rapunzel (voice)], [9880, Lana Thomas]]
61;Donna Murphy;1970-01-01;[[50875, Kathleen Walker], [11863, Karen Heller], [558, Rosalie Octavius], [38757, Mother Gothel (voice)], [2900, Natalie Streck], [49040, Dita Mandy], [1381, Betty]]
62;Ron Perlman;1950-04-13;[[8078, Johner], [36586, Reinhardt], [64690, Nino], [853, Koulikov], [24066, Marshal Nalhober], [1487, Hellboy], [11253, Hellboy], [2312, Norick], [10715, Acme VP, Never Learning], [68726, Hannibal Chau], [11546, Konstantine Konali], [62204, Amoukar], [327833, Viktor Dragovic], [201, The Reman Viceroy], [273899, Ed Murphy], [38757, Stabbington Brother (voice)], [34723, Pap Finn], [228326, Xibalba (voice)], [17577, Wesley], [10179, Zeno], [9306, Sayer of the Law], [7450, Prof. Sam Tucker]]
63;M.C. Gainey;1948-01-18;[[23706, Norm the Truck Driver], [11637, Al], [9988, Priest], [2163, Earl], [24066, ""Robert 'Bob' Allen Maslow""], [39845, Warren Stamp], [40688, Major Flower], [127493, Hoyt], [38757, Captain of the Guard (voice)], [10744, Highway Officer], [6519, Sheriff Rosco P. Coltrane], [11618, Large Man], [10985, Clem], [11199, Murdock]]
64;Jeffrey Tambor;1944-07-08;[[3050, Dr. Fish], [3558, Dr. Melvin Potts], [1487, Tom Manning], [11253, Tom Manning], [8871, Mayor Augustus Maywho], [13411, Dr. Feldman], [297, Quince], [58224, Mr. Gremmins], [10208, K. Edgar Singer], [2830, Ken], [96238, Christopher], [11918, Dr. Whitby], [38757, Big Nose Thug (voice)], [18785, Sid Garner], [45243, Sid Garner], [23082, Anthony], [11836, King Neptune (voice)], [544, Sully]]
65;Brad Garrett;1960-04-14;[[8839, Fatso (voice)], [12, Bloat (voice)], [57089, The Giant (voice)], [11172, Chris Riley], [2062, Auguste Gusteau (voice)], [38757, Hook Hand Thug (voice)], [18357, Fred Bedderhead (voice)], [124459, Dom], [10022, Vice Principal Dwayne Murney]]
66;Paul F. Tompkins;1968-09-12;[[38757, Short Thug (voice)]]
67;Richard Kiel;1939-09-13;[[17339, Drazak], [9614, Mr. Larson], [698, Jaws], [8879, Club], [38757, Vlad (voice)], [691, Jaws]]
68;Delaney Rose Stein;1970-01-01;[[38757, Young Rapunzel / Little Girl (voice)]]
69;Robert Downey Jr.;1970-01-01;[[3509, James Barris], [99861, Tony Stark / Iron Man], [11353, Jerry Renfro], [271110, Tony Stark / Iron Man], [8669, Nathan Gardner], [41733, Peter Highman], [18615, Lionel Sweeney], [3291, Joe Wershba], [4970, Pete Graham], [9089, Tommy Larson], [28902, Vivian Thompson], [1726, Tony Stark / Iron Man], [10138, Tony Stark / Iron Man], [68721, Tony Stark / Iron Man], [5236, Harry Lockhart], [1950, Telephone Jack], [31174, Earl Rivers], [10528, Sherlock Holmes], [58574, Sherlock Holmes], [24428, Tony Stark / Iron Man], [205587, ""Henry 'Hank' Palmer""], [10067, Dr. Kozak], [30141, Dan Dark], [17332, Steve Lopez], [7446, Kirk Lazarus], [32456, Blake Allen], [11004, Terry Crabtree], [1949, Paul Avery]]
70;Chris Hemsworth;1983-08-11;[[12403, Kale], [99861, Thor Odinson], [201088, Nicholas Hathaway], [27004, Sam Phelan], [43074, Kevin Smith], [205775, Owen Chase], [96721, James Hunt], [58595, The Huntsman], [24428, Thor Odinson], [22970, Curt Vaughn], [290595, The Huntsman], [10195, Thor Odinson], [76338, Thor], [296099, Stone Crandall]]
