ID;Name;Birthday;Films
97;Lee Tamahori;1970-01-01;[2043, 36669, 62630, 9433, 11679]
98;Paul Feig;1962-09-17;[55721, 43074, 136795, 18147]
99;Alessandro Carloni;1970-01-01;[140300]
100;Peter Ramsey;1970-01-01;[81188]
101;Dean Parisot;1970-01-01;[7552, 926, 12257, 146216]
102;Edward Zwick;1952-10-08;[1372, 10684, 9665, 4476, 43347, 616, 9882]
103;Alex Proyas;1970-01-01;[2666, 205584, 2048, 13811, 9495]
104;Richard Donner;1930-04-24;[2207, 9691, 8834, 526, 943, 944, 20763, 9647, 1924, 794, 9562]
105;Ang Lee;1954-10-23;[142, 146, 1927, 87827, 22267, 4584, 26320, 68924]
106;Jon M. Chu;1970-01-01;[72559, 54518, 291805, 8328, 41233]
107;Breck Eisner;1970-01-01;[7364, 29427, 274854]
108;Motonori Sakakibara;1970-01-01;[2114]
109;Peter Weir;1944-08-21;[207, 8619, 37165, 9281]
110;Bill Condon;1955-10-22;[1125, 3033, 11184, 162903, 50620]
111;Louis Leterrier;1970-01-01;[18823, 75656, 1724, 9335, 10027]
112;Alejandro Gonzlez I?rritu;1963-08-15;[470, 55, 1164, 194662, 45958, 281957]
113;David Soren;1970-01-01;[77950]
114;Paul Greengrass;1955-08-13;[4107, 109424, 22972, 324668, 2502, 2503, 9829]
115;John Stevenson;1970-01-01;[9502]
116;Peyton Reed;1964-07-03;[102899, 1588, 9767, 10201]
117;Tim Johnson;1970-01-01;[8916, 228161, 7518]
118;Chris Miller;1970-01-01;[417859]
119;Phillip Noyce;1970-01-01;[1123, 9331, 9869, 9555, 27576, 9481, 227156, 8198, 10003]
120;Darren Aronofsky;1969-02-12;[44214, 86834, 473, 641, 1381, 12163]
121;Alfonso Cuarn;1961-11-28;[9693, 49047, 673, 1391]
122;Eric Leighton;1970-01-01;[10567]
123;Chris Columbus;1958-09-10;[2277, 672, 671, 771, 772, 19840, 788, 32657, 257344, 1833, 9441]
124;Robert Schwentke;1970-01-01;[262504, 9315, 262500, 49524, 39514, 24420]
125;Carlos Saldanha;1965-01-24;[8355, 950, 46195, 172385, 9928]
126;Guy Ritchie;1968-09-10;[100, 13809, 10528, 58574, 107, 12779, 203801]
127;Paul Verhoeven;1938-07-18;[9075, 9383, 10802, 563, 861]
128;John McTiernan;1951-01-08;[10782, 562, 1572, 9593, 9096, 106, 11535, 1911, 1669, 913]
129;Tony Gilroy;1970-01-01;[16558, 4566, 49040]
130;Joel Schumacher;1939-08-29;[8224, 1645, 3132, 415, 414, 1551, 31582, 1817, 10731, 1547, 3594, 9833, 10629]
131;John Woo;1946-05-01;[9208, 754, 955, 9620, 12289, 12100]
132;Tim Story;1970-03-13;[10611, 1979, 168530, 323675, 67660, 184098]
133;Mark Steven Johnson;1970-01-01;[1250, 22796]
134;Neill Blomkamp;1979-09-17;[198184, 17654, 68724]
135;David Twohy;1970-01-01;[12403, 2787, 87421, 2789]
136;Jos Padilha;1970-01-01;[7347, 97020]
137;James L. Brooks;1970-01-01;[2898, 42888, 2539]
138;James Mangold;1963-12-16;[5176, 2142, 3558, 2832, 11232, 37834, 76170, 69]
139;George Lucas;1944-05-14;[838, 11, 1893, 1894, 1895]
140;Kirk De Micco;1970-01-01;[11802, 49519]
141;Frdric Forestier;1970-01-01;[2395]
142;Cedric Nicolas-Troyan;1970-01-01;[290595]
143;Roger Donaldson;1970-01-01;[9619, 9348, 8848, 2669, 254904, 9912, 11973]
144;Dave Green;1970-01-01;[238603, 308531]
145;Josh Trank;1970-01-01;[76726, 166424]
146;Brad Peyton;1980-09-16;[39691, 72545, 254128]
147;Roger Spottiswoode;1970-01-01;[8452, 13405, 45226, 714]
148;Steven Soderbergh;1963-01-14;[39538, 462, 15186, 70435, 77930, 161, 298, 163, 1389, 1412, 109421, 182, 11323, 10388, 1900]
149;Michel Gondry;1970-01-01;[4953, 292, 38, 40805]
150;Noam Murro;1970-01-01;[53182]
151;Raja Gosnell;1970-01-01;[14405, 9600, 9637, 11024, 41513, 77931]
152;John Sanford;1970-01-01;[13700]
153;Jan de Bont;1970-01-01;[1996, 1637, 1639, 11618, 664]
154;Len Wiseman;1973-03-04;[1571, 277, 834]
155;Frank Coraci;1966-02-03;[10204, 232672, 9339, 87826, 347969, 10663, 38317]
156;Michael Mann;1943-02-05;[8489, 201088, 1538, 11322, 9008, 9361]
157;Bo Welch;1970-01-01;[10588]
158;John Musker;1970-01-01;[812, 10198, 9016]
159;Peter Chelsom;1970-01-01;[18126, 9778, 4380, 9821, 24113]
160;Dominic Sena;1970-01-01;[9679, 9705, 22787]
161;Tony Scott;1944-06-21;[96, 8963, 2119, 9923, 9798, 9509, 1535, 9566, 18487, 744, 319, 44048]
162;Paul Weitz;1970-01-01;[245, 144340, 9310, 2105, 24418, 16300, 1901, 39451]
163;Adam McKay;1968-04-17;[109443, 8699, 12133, 9718, 318846, 27581]
164;Chuck Russell;1970-01-01;[10072, 10391, 9268, 332411, 854, 9334]
165;Quentin Tarantino;1963-03-27;[68718, 5, 16869, 184, 24, 393, 680, 500, 273248]
166;Kirk Wise;1970-01-01;[10865, 10545]
167;Mark Dindal;1970-01-01;[24662, 9982, 11688]
168;Simon West;1970-01-01;[1701, 1995, 127493, 76163, 2275, 27582, 10053, 265208]
169;Stefen Fangmeier;1970-01-01;[2486]
170;Spike Jonze;1969-10-22;[2757, 492, 152601, 16523]
171;Chris Wedge;1970-01-01;[116711, 425]
172;Florian Henckel von Donnersmarck;1970-01-01;[582, 37710]
173;Peter Hyams;1943-07-26;[10077, 11935, 9946, 11370, 11015, 8831]
174;Pitof;1970-01-01;[314]
175;Brad Silberling;1970-01-01;[8839, 795, 18162, 31005]
176;Patrick Hughes;1970-01-01;[138103]
177;Ericson Core;1970-01-01;[257088]
178;Lawrence Guterman;1970-01-01;[10992, 10214]
179;Ron Underwood;1970-01-01;[9822, 11692, 9362]
180;Steve Martino;1970-01-01;[227973]
181;David Mamet;1947-11-30;[12400, 29193]
182;Zhang Yimou;1951-11-14;[44555, 259943, 1494, 79, 9550, 76758]
183;Chris Buck;1970-01-01;[9408]
184;Frank Oz;1944-05-25;[11353, 2196, 10806, 10776, 11359, 11371, 9890]
185;Jay Roach;1957-06-14;[818, 816, 817, 38778, 693, 1597, 15198, 77953]
186;Luc Besson;1959-03-18;[9992, 240832, 10656, 18, 10047]
187;Michael Patrick King;1970-01-01;[37786]
188;Bibo Bergeron;1970-01-01;[77459, 10501]
189;Mike Thurmeier;1970-01-01;[57800]
190;Sergei Bodrov;1970-01-01;[12246, 68737]
191;Wally Pfister;1961-07-08;[157353]
192;Rupert Wyatt;1970-01-01;[61791, 284536]
193;Mark Waters;1970-01-01;[10330, 24940, 9007, 10625, 58224, 8204]
194;John Moore;1970-01-01;[47964, 8007, 11866, 13051]
195;John Lee Hancock;1970-01-01;[140823, 10733, 22881, 14635]
196;Renny Harlin;1959-03-15;[17134, 50601, 10131, 9350, 1408, 8914, 1573, 10477, 11026, 16617, 48309, 9548, 9954, 188207, 11412]
197;John Lasseter;1957-01-12;[9487, 862, 863]
198;Christopher Miller;1970-01-01;[64688, 187017, 22794, 137106]
199;Ben Stiller;1965-11-30;[9894, 116745, 7446, 9398, 329833]
200;Barry Cook;1970-01-01;[10674]
201;Timur Bekmambetov;1961-06-25;[72331, 271969, 3040, 8909]
202;Walt Becker;1970-01-01;[258509, 11452, 22949, 11199]
203;Dennis Dugan;1946-09-05;[9032, 38365, 109418, 9614, 71880, 50546, 10878, 9957, 10661]
204;Sydney Pollack;1934-07-01;[606, 12618, 37233, 179, 9576]
205;Thor Freudenthal;1970-01-01;[33217, 15189, 76285]
206;Brian De Palma;1940-09-11;[11644, 11507, 11033, 9280, 2067, 954, 13937, 11600, 111, 8688, 9676, 117]
207;Mick Jackson;1970-01-01;[619, 10357]
208;Alan J. Pakula;1970-01-01;[4477, 9944]
209;Kathryn Bigelow;1951-11-27;[8665, 12162, 97630]
210;John Milius;1944-04-11;[9387, 18886, 1880]
211;Andrei Konchalovsky;1937-08-20;[49852]
212;Gary Ross;1951-12-04;[316152, 4464, 70160]
213;Paul W.S. Anderson;1970-01-01;[395, 10483, 8413, 9312, 76649, 1576, 35791, 71679, 9425, 52451]
214;Genndy Tartakovsky;1970-01-17;[76492, 159824, 333355]
215;Kevin Lima;1970-01-01;[10481, 4523]
216;Daniel Espinosa;1970-01-01;[181283, 29920, 59961]
217;Nancy Meyers;1949-12-08;[22897, 6964, 1581, 257211, 3981]
218;Anthony Stacchi;1970-01-01;[7484]
219;Neil Burger;1970-01-01;[157350, 36584, 1491, 16005]
220;Jean-Jacques Annaud;1970-01-01;[853, 62204, 978, 1997]
221;Sarah Smith;1970-01-01;[51052]
222;Martin Brest;1970-01-01;[90, 8046, 297, 9013]
223;Andrew Davis;1970-01-01;[12123, 9884, 8326, 5503]
224;Bob Fosse;1927-06-23;[16858, 42618]
225;Tarsem Singh;1961-05-26;[37958, 62764, 238615, 8843]
226;Edgar Wright;1974-04-18;[4638, 22538, 747, 107985]
227;Jon Amiel;1970-01-01;[1710, 1844, 9341, 9414]
228;Peter Segal;1970-01-01;[1824, 11665, 64807, 17795, 12107, 9291, 36593]
229;Pete Travis;1970-01-01;[49049, 7461]
230;George A. Romero;1970-01-01;[16281, 8408, 13025, 11683, 10331, 29426]
231;Sylvester Stallone;1946-07-06;[1246, 27578]
232;Todd Phillips;1970-12-20;[41733, 11635, 9285, 9842, 9384, 18785, 45243]
233;Gary Winick;1970-01-01;[10096, 10521, 9986, 37056, 39141]
234;Mimi Leder;1970-01-01;[8656, 10647, 6623]
235;Seth Gordon;1970-01-01;[12193, 51540, 109431]
236;Adam Shankman;1964-11-27;[10229, 10202, 10678, 9641, 2976, 80585, 10022, 2018]
237;D.J. Caruso;1965-01-17;[8271, 13027, 46529, 11468]
238;Anthony Minghella;1970-01-01;[2289, 409, 1213]
239;Allen Hughes;1970-01-01;[98357, 768, 9516, 20504]
240;Les Mayfield;1970-01-01;[13496, 11001, 14396, 9574, 9074]
241;Joe Pytka;1970-01-01;[2300]
242;Scott Derrickson;1970-01-01;[184346, 82507, 10200, 8643]
243;Ivan Reitman;1946-10-27;[200505, 951, 9930, 4474, 41630, 6068, 10890, 9493]
244;Eric Brevig;1970-01-01;[88751, 41515]
245;Lorna Cook;1970-01-01;[9023]
246;Stephen Hopkins;1970-01-01;[10160, 2157, 169, 323677, 10586, 1683]
247;Jonathan Demme;1944-02-22;[39437, 9800, 14976, 14462, 274]
248;Henry Jaglom;1970-01-01;[161795]
249;Pixote Hunt;1970-01-01;[49948]
250;Vincent Ward;1970-01-01;[12159]
251;Steven Brill;1970-01-01;[8457, 9678, 2022, 10762]
252;Terry Gilliam;1940-11-22;[68, 1878, 4442, 177, 8054, 36819]
253;Lucile Hadzihalilovic;1970-01-01;[330770]
254;Neil Nightingale;1970-01-01;[77951]
255;Roger Christian;1970-01-01;[5491]
256;Joe Dante;1946-11-28;[927, 928, 10715, 11551, 45650, 11298]
257;Kevin Costner;1955-01-18;[581, 2055, 9922]
258;Antony Hoffman;1970-01-01;[8870]
259;Jacques Cluzaud;1970-01-01;[36970]
260;Andrs Couturier;1970-01-01;[293644]
261;Kris Pearn;1970-01-01;[109451]
262;John Singleton;1968-01-06;[584, 59965, 16161, 650, 8292, 8291, 479]
263;Mark Osborne;1970-01-01;[309809]
264;James McTeigue;1970-01-01;[22832, 334074, 4858, 70436, 752]
265;Des McAnuff;1970-01-01;[17711]
266;Chris Renaud;1970-01-01;[20352, 93456, 328111]
267;Stephen Norrington;1970-01-01;[36647, 8698]
268;David Kellogg;1970-01-01;[332]
269;Mike Nichols;1931-11-06;[10364, 6538, 2288, 9440, 10416, 10395]
270;F. Gary Gray;1969-07-17;[8409, 4551, 10634, 22803, 9400, 277216, 9654, 9631]
271;Antoine Fuqua;1966-01-19;[26390, 117263, 7485, 307081, 9567, 156022, 11702, 2034]
272;Robert Luketic;1970-01-01;[8065, 37821, 8835, 4379, 20943, 13476]
273;Gil Kenan;1976-10-16;[13600, 9297]
274;Barry Levinson;1942-04-06;[29122, 3172, 13776, 8984, 10710, 801, 9895, 380, 819, 10153, 586, 8944, 11904]
275;Jerry Zucker;1950-03-11;[6520, 251, 9896]
276;Andy Tennant;1970-01-01;[1439, 9454, 8676, 8488, 11529, 27573]
277;Florent-Emilio Siri;1970-01-01;[2026]
278;Don Bluth;1937-09-13;[9444, 12144, 7450]
279;Ron Shelton;1970-01-01;[4911, 11375, 20761, 10478]
280;David Pastor;1970-01-01;[25769]
281;Henry Selick;1970-01-01;[14836, 23685]
282;Pierre Coffin;1967-11-01;[211672]
283;Clay Kaytis;1970-01-01;[153518]
284;Judd Apatow;1967-12-06;[20829, 4964, 6957, 89492, 271718]
285;Steve Carr;1970-01-01;[10708, 10808, 10471, 14560]
286;Mel Gibson;1956-01-03;[1579, 197, 615]
287;David Silverman;1970-01-01;[35]
288;Frank Darabont;1959-01-28;[497, 11086, 5876, 278]
289;Betty Thomas;1948-07-27;[10468, 23398, 3050, 8427]
290;Conrad Vernon;1970-01-01;[809]
291;Joe Ranft;1960-03-13;[920]
292;Garry Marshall;1934-11-13;[13159, 62838, 114, 4599, 4806, 9880, 11130, 32856]
293;Paul Tibbitt;1970-01-01;[228165]
294;Clark Johnson;1970-01-01;[9257, 5820]
295;Cameron Crowe;1957-07-13;[786, 222936, 9621, 9390, 1903, 74465]
296;Randall Wallace;1970-01-01;[236751, 39486, 9313, 10590]
297;Jonathan Frakes;1952-08-19;[15028, 199, 200, 14623]
298;George Clooney;1961-05-06;[4912, 3291, 4942, 10316, 152760]
299;Gary Shore;1970-01-01;[49017]
300;Andrzej Bartkowiak;1970-01-01;[10623, 8814, 10877, 2085, 15268]
301;Bjrn Stein;1970-01-01;[52520]
302;Gregory Hoblit;1970-01-01;[10559, 10592, 8090]
303;Gary McKendry;1970-01-01;[49021]
304;Wych Kaosayananda;1970-01-01;[10550]
305;Mikael Salomon;1970-01-01;[11258, 112430]
306;Peter Farrelly;1970-01-01;[8467, 100042, 11431, 48988, 11543, 2123, 12610, 9889, 1792, 76489, 544]
307;Dan St. Pierre;1970-01-01;[59981]
308;Kerry Conran;1970-01-01;[5137]
309;Michael Caton-Jones;1970-01-01;[3093, 13536, 11780, 4824]
310;Mikael H?fstrm;1970-01-01;[3021, 8999, 107846, 48171]
311;Phil Alden Robinson;1970-01-01;[4614]
312;David Slade;1970-01-01;[4513, 2652, 24021]
313;Joseph Ruben;1970-01-01;[11517]
314;Seth MacFarlane;1973-10-26;[188161, 72105, 214756]
315;Alejandro Amenbar;1970-01-01;[26428, 241257, 1933, 1913]
316;Kinka Usher;1970-01-01;[9824]
317;Craig Gillespie;1970-01-01;[58151, 6615, 198185, 300673]
318;Rob Bowman;1970-01-01;[13064, 9947, 6278, 846]
319;Doug Lefler;1970-01-01;[9703]
320;Scott Waugh;1970-01-01;[75674, 136797]
321;Lawrence Kasdan;1949-01-14;[89325, 6171, 24071, 11509, 12160]
322;Michael Lembeck;1948-06-25;[15673, 9021]
323;Tom Hooper;1972-10-01;[82695, 21641, 45269]
324;Nora Ephron;1941-05-19;[24803, 10783, 9489]
325;Angelina Jolie;1975-06-04;[314385, 79777, 227306]
326;Clint Eastwood;1930-05-31;[66, 190859, 9573, 3580, 10724, 3683, 13223, 44603, 11901, 22954, 88794, 209451, 1251, 8197, 70, 322, 8879, 5551, 688, 33]
327;Larry Charles;1956-02-20;[496, 18480, 24356, 13007, 76493]
328;Stanley Kubrick;1928-07-26;[62, 3175, 935, 345, 802, 694]
329;Will Gluck;1970-01-01;[196867, 37735, 50544]
330;John Requa;1970-01-01;[50646, 256591, 8952]
331;David S. Goyer;1965-12-22;[36648, 13788]
332;Taylor Hackford;1944-12-31;[9702, 39845, 119283, 11983, 1677, 1813]
333;Michael Lehmann;1970-01-01;[2752, 1257, 9292]
334;Stuart Beattie;1970-01-01;[100241]
335;Roman Polanski;1933-08-18;[72113, 257, 805, 11439, 622, 423]
336;Frank Miller;1957-01-27;[187, 189, 8285]
337;Baltasar Kormkur;1966-02-27;[136400, 77866, 253412]
338;Tom Tykwer;1970-01-01;[1427, 104, 4959, 53256]
339;David Bowers;1970-01-01;[16577, 82650, 60307]
340;Daniel Lee;1970-01-01;[300168, 14538]
341;Keenen Ivory Wayans;1958-06-08;[26352, 9072, 4248, 12153]
342;Rob Reiner;1947-03-06;[881, 17813, 253235, 43949, 31908, 235, 9087, 7350, 2493, 12220, 639]
343;Marco Schnabel;1970-01-01;[12177]
344;Demian Lichtenstein;1970-01-01;[12138]
345;Will Speck;1970-01-01;[9955, 41210]
346;Tim Hill;1970-01-01;[6477, 9513, 50359, 34549, 10208]
347;David Frankel;1970-01-01;[82696, 14306, 73937, 350]
348;Brenda Chapman;1970-01-01;[9837]
349;Marc Lawrence;1970-01-01;[24438, 11172, 2642]
350;Peter Billingsley;1971-04-16;[19899]
351;Wes Ball;1970-01-01;[294254, 198663]
352;Ryan Murphy;1965-11-30;[38167, 7510]
353;Robert Redford;1937-08-18;[4515, 16619, 60309, 547, 4958]
354;Jay Russell;1970-01-01;[11128, 17908, 13768]
355;Kenny Ortega;1950-04-18;[10947, 13649, 11887, 10439, 13576]
356;David McNally;1970-01-01;[6282, 10628]
357;Brian Robbins;1963-11-22;[72358, 20857, 11260, 20697, 10067, 14709]
358;Brian Levant;1970-01-01;[11637, 9279, 11888, 888, 889, 23172]
359;Steven Zaillian;1970-01-01;[9422, 1717]
360;Chris Butler;1970-01-01;[77174]
361;Jon Avnet;1970-01-01;[3489, 13389, 9302]
362;Kevin Donovan;1970-01-01;[10771]
363;Geoff Murphy;1970-01-01;[3512]
364;David O. Russell;1958-08-20;[168672, 2074, 1599, 274479, 82693, 45317, 6415]
365;Babak Najafi;1970-01-01;[267860]
366;Jean-Pierre Jeunet;1970-01-01;[2841, 8078, 194, 27936, 157841]
367;Graham Annable;1970-01-01;[170687]
368;Griffin Dunne;1955-06-08;[206412, 6435]
369;John Pasquin;1970-01-01;[12312, 10040, 11395]
370;Ruben Fleischer;1970-01-01;[62206, 82682, 19908]
371;Harold Ramis;1944-11-21;[9932, 9535, 1636, 11977, 137, 9304, 11153, 17610]
372;Kevin Macdonald;1970-01-01;[16995, 1523, 11194]
373;Donald Petrie;1970-01-01;[9919, 10025, 1493, 9849, 23049, 11191, 11011, 16784]
374;Marcos Martnez;1970-01-01;[16866]
375;Stuart Baird;1970-01-01;[2320, 201]
376;Joel Coen;1954-11-29;[11775, 134, 115, 11934]
377;Robert Lorenz;1970-01-01;[87825]
378;Harold Becker;1970-01-01;[11062, 11456, 8838, 12150]
379;Scott Stewart;1970-01-01;[22894, 38321]
380;Patrick Gilmore;1970-01-01;[14411]
381;Tony Bill;1940-08-23;[9664]
382;Rod Lurie;1970-01-01;[25212, 13074, 64639, 6521, 2100]
383;Jack Sholder;1970-01-01;[10014, 10384]
384;Akiva Goldsman;1962-07-07;[137321]
385;Harald Zwart;1965-07-01;[10923, 123553]
386;Walter Salles;1970-01-01;[666, 9009, 83770]
387;Iain Softley;1970-01-01;[10428, 2309, 167, 9913]
388;David Koepp;1963-06-09;[12797, 210860, 49526, 1586, 11601]
389;Uwe Boll;1965-06-22;[12142, 168705, 252360, 2312, 38780]
390;Soi Cheang;1970-01-01;[381902]
391;John Dahl;1970-01-01;[10866, 10220, 13922, 8141]
392;Tim Miller;1970-01-01;[293660]
393;Stephen Herek;1970-01-01;[1648, 14849, 9713, 16643, 13498, 2054, 12508, 10414]
394;Peter MacDonald;1970-01-01;[1370]
395;Anthony Hemingway;1970-01-01;[72431]
396;Sean Anders;1970-01-01;[274167, 227159, 13523, 87428]
397;Mark Neveldine;1970-01-01;[1948, 15092, 18501, 71676, 157544]
398;John Madden;1936-04-10;[1722, 1934, 74534, 48289, 268238]
399;Kevin Bray;1970-01-01;[13950, 11358]
400;Eric Goldberg;1970-01-01;[10530]
401;Sam Weisman;1970-01-01;[13778, 10603, 8970, 14034]
402;Jesse Dylan;1970-01-01;[8273, 8386, 9981]
403;Wayne Wang;1970-01-01;[21349, 17880, 17379, 7303, 58882]
404;Gabriele Muccino;1970-01-01;[77875, 38970, 11321, 1402]
