ID;Title;Genres;Year;Runtime;Description;Cast;Director;Writers;Producers
1452;Superman Returns;['Adventure', 'Fantasy', 'Action', 'Science Fiction'];2006;154;Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.;[[Brandon Routh, Superman / Clark Kent], [Eva Marie Saint, Martha Kent], [Frank Langella, Perry White], [James Marsden, Richard White], [Kal Penn, Stanford], [Kate Bosworth, Lois Lane], [Kevin Spacey, Lex Luthor], [Marlon Brando, Jor-El], [Parker Posey, Kitty Kowalski], [Sam Huntington, Jimmy Olsen]];Bryan Singer;[[Bryan Singer, Story], [Dan Harris, Story], [Michael Dougherty, Story]];[[Bryan Singer, Producer], [Chris Lee, Executive Producer], [Gilbert Adler, Producer], [Jon Peters, Producer], [Scott Mednick, Executive Producer], [Thomas Tull, Executive Producer], [William Fay, Executive Producer]]
10764;Quantum of Solace;['Adventure', 'Action', 'Thriller', 'Unknown'];2008;106;Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.;[[Anatole Taubman, Elvis], [Daniel Craig, James Bond], [David Harbour, Gregg Beam], [Gemma Arterton, Strawberry Fields], [Giancarlo Giannini, RenÇ Mathis], [Jeffrey Wright, Felix Leiter], [Jesper Christensen, Mr. White], [Judi Dench, M], [Mathieu Amalric, Dominic Greene], [Olga Kurylenko, Camille Montes]];Marc Forster;[[Neal Purvis, Screenplay], [Paul Haggis, Screenplay], [Robert Wade, Screenplay]];[[Anthony Waye, Executive Producer], [Barbara Broccoli, Producer], [Callum McDougall, Executive Producer], [Michael G. Wilson, Producer]]
58;Pirates of the Caribbean: Dead Man's Chest;['Adventure', 'Fantasy', 'Action'];2006;151;Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.;[[Bill Nighy, Captain Davy Jones], [Jack Davenport, James Norrington], [Johnny Depp, Captain Jack Sparrow], [Jonathan Pryce, Governor Weatherby Swann], [Keira Knightley, Elizabeth Swann], [Kevin McNally, Joshamee Gibbs], [Lee Arenberg, Pintel], [Mackenzie Crook, Ragetti], [Orlando Bloom, Will Turner], [Stellan Skarsg?rd, William ""Bootstrap Bill"" Turner]];Gore Verbinski;[[Ted Elliott, Screenplay], [Terry Rossio, Screenplay]];[[Bruce Hendricks, Executive Producer], [Chad Oman, Executive Producer], [Eric McLeod, Executive Producer], [Jerry Bruckheimer, Producer], [Mike Stenson, Executive Producer], [Pat Sandston, Producer], [Peter Kohn, Producer]]
57201;The Lone Ranger;['Action', 'Adventure', 'Western'];2013;149;The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.;[[Armie Hammer, John Reid / The Lone Ranger], [Barry Pepper, Captain Jay Fuller], [Helena Bonham Carter, Red Harrington], [James Badge Dale, Dan Reid], [James Frain, Barret], [Johnny Depp, Tonto], [Mason Cook, Will], [Ruth Wilson, Rebecca Reid], [Tom Wilkinson, Latham Cole], [William Fichtner, Butch Cavendish]];Gore Verbinski;[[Justin Haythe, Screenplay], [Ted Elliott, Screenplay], [Terry Rossio, Screenplay]];[[Chad Oman, Executive Producer], [Eric Ellenbogen, Executive Producer], [Eric McLeod, Executive Producer], [Gore Verbinski, Producer], [Jerry Bruckheimer, Producer], [Johnny Depp, Executive Producer], [Mike Stenson, Executive Producer], [Ted Elliott, Executive Producer], [Terry Rossio, Executive Producer]]
49521;Man of Steel;['Action', 'Adventure', 'Fantasy', 'Science Fiction'];2013;143;A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.;[[Amy Adams, Lois Lane], [Antje Traue, Faora-Ul], [Christopher Meloni, Colonel Hardy], [Diane Lane, Martha Kent], [Henry Cavill, Clark Kent / Kal-El], [Jadin Gould, Lana Lang], [Kevin Costner, Jonathan Kent], [Laurence Fishburne, Perry White], [Michael Shannon, General Zod], [Russell Crowe, Jor-El]];Zack Snyder;[[Christopher Nolan, Story], [David S. Goyer, Story]];[[Charles Roven, Producer], [Christopher Nolan, Producer], [Deborah Snyder, Producer], [Emma Thomas, Producer], [Jon Peters, Executive Producer], [Lloyd Phillips, Executive Producer], [Thomas Tull, Executive Producer]]
2454;The Chronicles of Narnia: Prince Caspian;['Adventure', 'Unknown', 'Fantasy'];2008;150;One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.;[[Alicia Borrachero, Queen Prunaprismia], [Anna Popplewell, Susan Pevensie], [Ben Barnes, Prince Caspian], [Georgie Henley, Lucy Pevensie], [Peter Dinklage, Trumpkin], [Sergio Castellitto, King Miraz], [Skandar Keynes, Edmund Pevensie], [Vincent Grass, Doktor Cornelius], [Warwick Davis, Nikabrik], [William Moseley, Peter Pevensie]];Andrew Adamson;[[Andrew Adamson, Screenplay], [Christopher Markus, Screenplay], [Stephen McFeely, Screenplay]];[[Andrew Adamson, Producer], [Mark Johnson, Producer], [Perry Moore, Executive Producer], [Philip Steuer, Producer]]
24428;The Avengers;['Science Fiction', 'Action', 'Adventure'];2012;143;When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!;[[Chris Evans, Steve Rogers / Captain America], [Chris Hemsworth, Thor Odinson], [Clark Gregg, Agent Phil Coulson], [Cobie Smulders, Agent Maria Hill], [Jeremy Renner, Clint Barton / Hawkeye], [Mark Ruffalo, Bruce Banner / The Hulk], [Robert Downey Jr., Tony Stark / Iron Man], [Scarlett Johansson, Natasha Romanoff / Black Widow], [Stellan Skarsg?rd, Erik Selvig], [Tom Hiddleston, Loki]];Joss Whedon;[[Joss Whedon, Story], [Zak Penn, Story]];[["Louis D'Esposito", Executive Producer], [Alan Fine, Executive Producer], [Avi Arad, Executive Producer], [Chris Brigham, Executive Producer], [Jeremy Latcham, Executive Producer], [Jon Favreau, Executive Producer], [Kevin Feige, Producer], [Stan Lee, Executive Producer], [Victoria Alonso, Executive Producer]]
1865;Pirates of the Caribbean: On Stranger Tides;['Adventure', 'Action', 'Fantasy'];2011;136;Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.;[["Damian O'Hare", Lieutenant Gillette], [Astrid Berg?s-Frisbey, Syrena], [Geoffrey Rush, Captain Hector Barbossa], [Greg Ellis, Lieutenant Theodore Groves], [Ian McShane, Captain Edward ""Blackbeard"" Teach], [Johnny Depp, Captain Jack Sparrow], [Kevin McNally, Joshamee Gibbs], [PenÇlope Cruz, Angelica Teach], [Sam Claflin, Philip Swift], [Stephen Graham, Scrum]];Rob Marshall;[[Ted Elliott, Screenplay], [Terry Rossio, Screenplay]];[[Barry H. Waldman, Executive Producer], [Chad Oman, Executive Producer], [Jerry Bruckheimer, Producer], [John DeLuca, Executive Producer], [Mike Stenson, Executive Producer], [Terry Rossio, Executive Producer]]
41154;Men in Black 3;['Action', 'Comedy', 'Science Fiction'];2012;106;Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.;[[Alice Eve, Young Agent O], [Bill Hader, Andy Warhol], [Emma Thompson, Agent O], [Jemaine Clement, Boris The Animal], [Josh Brolin, Young Agent K], [Michael Chernus, Jeffrey Price], [Michael Stuhlbarg, Griffin], [Nicole Scherzinger, "Boris's Girlfriend"], [Tommy Lee Jones, Agent K], [Will Smith, Agent J]];Barry Sonnenfeld;[[Etan Cohen, Screenplay], [Lowell Cunningham, Writer]];[[G. Mac Brown, Executive Producer], [Laurie MacDonald, Producer], [Steven Spielberg, Executive Producer], [Walter F. Parkes, Producer]]
122917;The Hobbit: The Battle of the Five Armies;['Action', 'Adventure', 'Fantasy'];2014;144;Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.;[["Dean O'Gorman", Fili], [Aidan Turner, Kili], [Graham McTavish, Dwalin], [Ian McKellen, Gandalf], [James Nesbitt, Bofur], [Ken Stott, Balin], [Martin Freeman, Bilbo Baggins], [Richard Armitage, Thorin Oakenshield], [Stephen Hunter, Bombur], [William Kircher, Bifur]];Peter Jackson;[[Fran Walsh, Writer], [Guillermo del Toro, Writer], [Peter Jackson, Writer], [Philippa Boyens, Writer]];[[Carolyn Blackwood, Executive Producer], [Carolynne Cunningham, Producer], [Fran Walsh, Producer], [Peter Jackson, Producer], [Zane Weiner, Producer]]
1930;The Amazing Spider-Man;['Action', 'Adventure', 'Fantasy'];2012;136;Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance ? leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.;[[Andrew Garfield, Peter Parker / Spider-Man], [Campbell Scott, Richard Parker], [Chris Zylka, Flash Thompson], [Denis Leary, Captain Stacy], [Emma Stone, Gwen Stacy], [Irrfan Khan, Rajit Ratha], [Martin Sheen, Uncle Ben], [Max Charles, Peter Parker (Age 4)], [Rhys Ifans, Dr. Curt Connors / The Lizard], [Sally Field, Aunt May]];Marc Webb;[[Alvin Sargent, Screenplay], [James Vanderbilt, Story], [Steve Kloves, Screenplay]];[[Avi Arad, Producer], [Kevin Feige, Executive Producer], [Laura Ziskin, Producer], [Matt Tolmach, Producer], [Michael Grillo, Executive Producer], [Stan Lee, Executive Producer]]
20662;Robin Hood;['Action', 'Adventure'];2010;140;When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity, romances his widow, Marion, and draws the ire of the town's sheriff and King John's henchman, Godfrey.;[[Cate Blanchett, Marion Loxley], [Danny Huston, King Richard the Lionheart], [Eileen Atkins, Eleanor of Aquitaine], [Mark Addy, Friar Tuck], [Mark Strong, Godfrey], [Matthew Macfadyen, Sheriff of Nottingham], [Max von Sydow, Sir Walter Loxley], [Oscar Isaac, Prince John], [Russell Crowe, Robin Longstride], [William Hurt, William Marshal]];Ridley Scott;[[Brian Helgeland, Screenplay]];[[Brian Grazer, Producer], [Ridley Scott, Producer], [Russell Crowe, Producer]]
57158;The Hobbit: The Desolation of Smaug;['Adventure', 'Fantasy'];2013;161;The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.;[["Dean O'Gorman", Fili], [Aidan Turner, Kili], [Graham McTavish, Dwalin], [Ian McKellen, Gandalf], [James Nesbitt, Bofur], [Ken Stott, Balin], [Martin Freeman, Bilbo Baggins], [Richard Armitage, Thorin Oakenshield], [Stephen Hunter, Bombur], [William Kircher, Bifur]];Peter Jackson;[[Fran Walsh, Screenplay], [Guillermo del Toro, Screenplay], [Peter Jackson, Screenplay], [Philippa Boyens, Screenplay]];[[Alan Horn, Executive Producer], [Callum Greene, Executive Producer], [Carolyn Blackwood, Executive Producer], [Carolynne Cunningham, Producer], [Fran Walsh, Producer], [Ken Kamins, Executive Producer], [Peter Jackson, Producer], [Toby Emmerich, Executive Producer], [Zane Weiner, Producer]]
2268;The Golden Compass;['Adventure', 'Fantasy'];2007;113;After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.;[[Ben Walker, Roger Parslow], [Dakota Blue Richards, Lyra Belacqua], [Daniel Craig, Lord Asriel], [Eva Green, Serafina Pekkala], [Freddie Highmore, Pantalaimon (voice)], [Ian McKellen, Iorek Byrnison (voice)], [Ian McShane, Ragnar Sturlusson (voice)], [Kristin Scott Thomas, Stelmania (voice)], [Nicole Kidman, Marisa Coulter], [Sam Elliott, Lee Scoresby]];Chris Weitz;[[Chris Weitz, Screenplay]];[[Andrew Miano, Executive Producer], [Bill Carraro, Producer], [Deborah Forte, Producer], [Ileen Maisel, Executive Producer], [Mark Ordesky, Executive Producer], [Michael Lynne, Executive Producer], [Paul Weitz, Executive Producer], [Robert Shaye, Executive Producer], [Toby Emmerich, Executive Producer]]
254;King Kong;['Adventure', 'Drama', 'Action'];2005;187;In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.;[[Adrien Brody, Jack Driscoll], [Andy Serkis, Kong / Lumpy], [Colin Hanks, Preston], [Evan Parke, Hayes], [Jack Black, Carl Denham], [Jamie Bell, Jimmy], [John Sumner, Herb], [Lobo Chan, Choy], [Naomi Watts, Ann Darrow], [Thomas Kretschmann, Captain Englehorn]];Peter Jackson;[];[[Carolynne Cunningham, Producer], [Fran Walsh, Producer], [Jan Blenkin, Producer], [Peter Jackson, Producer]]
597;Titanic;['Drama', 'Romance', 'Thriller'];1997;194;84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancÇ, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.;[[Bernard Hill, Captain Edward James Smith], [Bill Paxton, Brock Lovett], [Billy Zane, "Caledon 'Cal' Hockley"], [David Warner, Spicer Lovejoy], [Frances Fisher, Ruth Dewitt Bukater], [Gloria Stuart, Old Rose], [Kate Winslet, Rose DeWitt Bukater], [Kathy Bates, Molly Brown], [Leonardo DiCaprio, Jack Dawson], [Victor Garber, Thomas Andrews]];James Cameron;[[James Cameron, Screenplay]];[[James Cameron, Producer], [Jon Landau, Producer], [Rae Sanchini, Executive Producer]]
271110;Captain America: Civil War;['Adventure', 'Action', 'Science Fiction'];2016;147;Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.;[[Anthony Mackie, Sam Wilson / Falcon], [Chadwick Boseman, "T'Challa / Black Panther"], [Chris Evans, Steve Rogers / Captain America], [Don Cheadle, Lieutenant James Rhodes / War Machine], [Elizabeth Olsen, Wanda Maximoff / Scarlet Witch], [Jeremy Renner, Clint Barton / Hawkeye], [Paul Bettany, Vision], [Robert Downey Jr., Tony Stark / Iron Man], [Scarlett Johansson, Natasha Romanoff / Black Widow], [Sebastian Stan, Bucky Barnes / Winter Soldier]];Joe Russo;[[Christopher Markus, Screenplay], [Stephen McFeely, Screenplay]];[["Louis D'Esposito", Executive Producer], [Alan Fine, Executive Producer], [Kevin Feige, Producer], [Nate Moore, Executive Producer], [Patricia Whitcher, Executive Producer], [Stan Lee, Executive Producer], [Victoria Alonso, Executive Producer]]
44833;Battleship;['Thriller', 'Action', 'Adventure', 'Science Fiction'];2012;131;When mankind beams a radio signal into space, a reply comes from ?Planet G?, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancÇe's father, Admiral Shane, expect of him.;[[Alexander Skarsg?rd, Commander Stone Hopper], [Brooklyn Decker, Sam], [Gregory D. Gadson, Lieutenant Colonel Mick Canales], [Hamish Linklater, Cal Zapata], [Jesse Plemons, Boatswain Mate Seaman Jimmy ""Ordy"" Ord], [John Tui, Chief Petty Officer Walter ""The Beast"" Lynch], [Liam Neeson, Admiral Shane], [Rihanna, "Petty Officer Cora 'Weps' Raikes"], [Tadanobu Asano, Captain Yugi Nagata], [Taylor Kitsch, Lieutenant Alex Hopper]];Peter Berg;[[Erich Hoeber, Screenplay], [Jon Hoeber, Screenplay]];[[Bennett Schneir, Producer], [Brian Goldner, Producer], [Duncan Henderson, Producer], [Peter Berg, Producer], [Sarah Aubrey, Producer], [Scott Stuber, Producer]]
